cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=1, task_id=1, kit_id=KIT_A, processing_time=3
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=2, task_id=2, kit_id=KIT_B, processing_time=5
cell_id=1, task_id=1, kit_id=KIT_A, processing_time=3
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=1, task_id=1, kit_id=KIT_A, processing_time=3
cell_id=2, task_id=2, kit_id=KIT_B, processing_time=5
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=1, task_id=1, kit_id=KIT_A, processing_time=3
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=2, task_id=2, kit_id=KIT_B, processing_time=5
cell_id=1, task_id=1, kit_id=KIT_A, processing_time=3
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=1, task_id=1, kit_id=KIT_A, processing_time=3
cell_id=3, task_id=3, kit_id=KIT_C, processing_time=2
cell_id=2, task_id=2, kit_id=KIT_B, processing_time=5
